unique_ID	sample_ID	species	coverage	field_ID	Location	read_type	eco	calcua_read_location	calcua_alignment_location
1	adriatica_A110	adriatica	5X	GWPel_21	Peljesac	fqz_1_2	stout	data/raw_data/adriatica_A110_1.fq.gz,data/raw_data/adriatica_A110_2.fq.gz	results/Alignment/GCF_900634775.1_fGouWil2.1/adriatica_A110.fixmate.sort.markdup.rg.bam
2	adriatica_A111	adriatica	5X	GWPel_22	Peljesac	fqz_1_2	stout	data/raw_data/adriatica_A111_1.fq.gz,data/raw_data/adriatica_A111_2.fq.gz	results/Alignment/GCF_900634775.1_fGouWil2.1/adriatica_A111.fixmate.sort.markdup.rg.bam
3	adriatica_A112	adriatica	5X	GWPel_23	Peljesac	fqz_1_2	stout	data/raw_data/adriatica_A112_1.fq.gz,data/raw_data/adriatica_A112_2.fq.gz	results/Alignment/GCF_900634775.1_fGouWil2.1/adriatica_A112.fixmate.sort.markdup.rg.bam
4	adriatica_A113	adriatica	5X	GWPel_26	Peljesac	fqz_1_2	stout	data/raw_data/adriatica_A113_1.fq.gz,data/raw_data/adriatica_A113_2.fq.gz	results/Alignment/GCF_900634775.1_fGouWil2.1/adriatica_A113.fixmate.sort.markdup.rg.bam
5	adriatica_A114	adriatica	5X	GWPel_27	Peljesac	fqz_1_2	stout	data/raw_data/adriatica_A114_1.fq.gz,data/raw_data/adriatica_A114_2.fq.gz	results/Alignment/GCF_900634775.1_fGouWil2.1/adriatica_A114.fixmate.sort.markdup.rg.bam
6	adriatica_A115	adriatica	5X	GWPel_28	Peljesac	fqz_1_2	stout	data/raw_data/adriatica_A115_1.fq.gz,data/raw_data/adriatica_A115_2.fq.gz	results/Alignment/GCF_900634775.1_fGouWil2.1/adriatica_A115.fixmate.sort.markdup.rg.bam
7	adriatica_A116	adriatica	5X	GWPel_50	Peljesac	fqz_1_2	stout	data/raw_data/adriatica_A116_1.fq.gz,data/raw_data/adriatica_A116_2.fq.gz	results/Alignment/GCF_900634775.1_fGouWil2.1/adriatica_A116.fixmate.sort.markdup.rg.bam
8	adriatica_A117	adriatica	5X	GWPel_51	Peljesac	fqz_1_2	stout	data/raw_data/adriatica_A117_1.fq.gz,data/raw_data/adriatica_A117_2.fq.gz	results/Alignment/GCF_900634775.1_fGouWil2.1/adriatica_A117.fixmate.sort.markdup.rg.bam
9	adriatica_A118	adriatica	5X	GWPel_52	Peljesac	fqz_1_2	stout	data/raw_data/adriatica_A118_1.fq.gz,data/raw_data/adriatica_A118_2.fq.gz	results/Alignment/GCF_900634775.1_fGouWil2.1/adriatica_A118.fixmate.sort.markdup.rg.bam
10	adriatica_A119	adriatica	5X	GWPel_53	Peljesac	fqz_1_2	stout	data/raw_data/adriatica_A119_1.fq.gz,data/raw_data/adriatica_A119_2.fq.gz	results/Alignment/GCF_900634775.1_fGouWil2.1/adriatica_A119.fixmate.sort.markdup.rg.bam
11	hofrichteri_4616STDY8352653	hofrichteri	30X	GWG_St3_38	Chamolia	fqz_1_2	slender	data/raw_data/hofrichteri_4616STDY8352653_1.fq.gz,data/raw_data/hofrichteri_4616STDY8352653_2.fq.gz	results/Alignment/GCF_900634775.1_fGouWil2.1/hofrichteri_4616STDY8352653.fixmate.sort.markdup.rg.bam
12	hofrichteri_D1_2	hofrichteri	5X	KYT_01	Kythira	fqz_1_2	slender	data/raw_data/hofrichteri_D1_2_1.fq.gz,data/raw_data/hofrichteri_D1_2_2.fq.gz	results/Alignment/GCF_900634775.1_fGouWil2.1/hofrichteri_D1_2.fixmate.sort.markdup.rg.bam
13	hofrichteri_D10	hofrichteri	5X	KYT_30	Kythira	fqz_1_2	slender	data/raw_data/hofrichteri_D10_1.fq.gz,data/raw_data/hofrichteri_D10_2.fq.gz	results/Alignment/GCF_900634775.1_fGouWil2.1/hofrichteri_D10.fixmate.sort.markdup.rg.bam
14	hofrichteri_D11	hofrichteri	15X	KYT_31	Kythira	fqz_1_2	slender	data/raw_data/hofrichteri_D11_1.fq.gz,data/raw_data/hofrichteri_D11_2.fq.gz	results/Alignment/GCF_900634775.1_fGouWil2.1/hofrichteri_D11.fixmate.sort.markdup.rg.bam
15	hofrichteri_D12	hofrichteri	15X	KYT_32	Kythira	fqz_1_2	slender	data/raw_data/hofrichteri_D12_1.fq.gz,data/raw_data/hofrichteri_D12_2.fq.gz	results/Alignment/GCF_900634775.1_fGouWil2.1/hofrichteri_D12.fixmate.sort.markdup.rg.bam
16	hofrichteri_D2	hofrichteri	5X	KYT_02	Kythira	fqz_1_2	slender	data/raw_data/hofrichteri_D2_1.fq.gz,data/raw_data/hofrichteri_D2_2.fq.gz	results/Alignment/GCF_900634775.1_fGouWil2.1/hofrichteri_D2.fixmate.sort.markdup.rg.bam
17	hofrichteri_D3_2	hofrichteri	5X	KYT_03	Kythira	fqz_1_2	slender	data/raw_data/hofrichteri_D3_2_1.fq.gz,data/raw_data/hofrichteri_D3_2_2.fq.gz	results/Alignment/GCF_900634775.1_fGouWil2.1/hofrichteri_D3_2.fixmate.sort.markdup.rg.bam
18	hofrichteri_D4	hofrichteri	5X	KYT_04	Kythira	fqz_1_2	slender	data/raw_data/hofrichteri_D4_1.fq.gz,data/raw_data/hofrichteri_D4_2.fq.gz	results/Alignment/GCF_900634775.1_fGouWil2.1/hofrichteri_D4.fixmate.sort.markdup.rg.bam
19	hofrichteri_D5	hofrichteri	5X	KYT_05	Kythira	fqz_1_2	slender	data/raw_data/hofrichteri_D5_1.fq.gz,data/raw_data/hofrichteri_D5_2.fq.gz	results/Alignment/GCF_900634775.1_fGouWil2.1/hofrichteri_D5.fixmate.sort.markdup.rg.bam
20	hofrichteri_D6	hofrichteri	5X	KYT_06	Kythira	fqz_1_2	slender	data/raw_data/hofrichteri_D6_1.fq.gz,data/raw_data/hofrichteri_D6_2.fq.gz	results/Alignment/GCF_900634775.1_fGouWil2.1/hofrichteri_D6.fixmate.sort.markdup.rg.bam
21	hofrichteri_D7	hofrichteri	5X	KYT_07	Kythira	fqz_1_2	slender	data/raw_data/hofrichteri_D7_1.fq.gz,data/raw_data/hofrichteri_D7_2.fq.gz	results/Alignment/GCF_900634775.1_fGouWil2.1/hofrichteri_D7.fixmate.sort.markdup.rg.bam
22	hofrichteri_D8	hofrichteri	5X	KYT_08	Kythira	fqz_1_2	slender	data/raw_data/hofrichteri_D8_1.fq.gz,data/raw_data/hofrichteri_D8_2.fq.gz	results/Alignment/GCF_900634775.1_fGouWil2.1/hofrichteri_D8.fixmate.sort.markdup.rg.bam
23	hofrichteri_D9	hofrichteri	5X	KYT_29	Kythira	fqz_1_2	slender	data/raw_data/hofrichteri_D9_1.fq.gz,data/raw_data/hofrichteri_D9_2.fq.gz	results/Alignment/GCF_900634775.1_fGouWil2.1/hofrichteri_D9.fixmate.sort.markdup.rg.bam
24	orientalis_4616STDY8352652	orientalis	30X	GWG_St2	Saronida	fqz_1_2	stout	data/raw_data/orientalis_4616STDY8352652_1.fq.gz,data/raw_data/orientalis_4616STDY8352652_2.fq.gz	results/Alignment/GCF_900634775.1_fGouWil2.1/orientalis_4616STDY8352652.fixmate.sort.markdup.rg.bam
